case,score
2gzQ0kt10pE_5000_10000,55.9
2jza_R_oSuw_120000_130000,53.16
2jza_R_oSuw_194000_204000,51.8
2jza_R_oSuw_211000_221000,53.97
2jza_R_oSuw_231000_241000,53.66
2jza_R_oSuw_253000_263000,51.2
2jza_R_oSuw_265000_275000,54.94
2jza_R_oSuw_278000_288000,53.62
2jza_R_oSuw_291000_301000,50.22
2jza_R_oSuw_307000_317000,48.12
2jza_R_oSuw_322000_332000,48.78
2jza_R_oSuw_335000_345000,51.3
2jza_R_oSuw_370000_380000,53.16
2jza_R_oSuw_63000_73000,50.94
2jza_R_oSuw_76000_86000,51.62
2jza_R_oSuw_96000_106000,48.12
2k8x2JK86Hk_5000_10000,54.38
2mgBZ8ye3c8_100000_110000,52.12
2oz40aXs0ug_2000_7000,57.66
2tQjoo4LmXg_0_5000,52.97
2tasnlJcA08_0_5000,56.5
2uOqzDrthyA_20000_30000,58.47
2uvsFmvFlf8_26000_36000,48.84
2yizo9_ZWyw_22000_32000,53.97
2yizo9_ZWyw_45000_55000,48.25
30x4aq1KIYc_0_5000,48.56
35zjZSpI_Fo_0_5000,54.06
36ShTJ5wOnU_170000_180000,50.53
36ShTJ5wOnU_290000_300000,48.25
3954OuFHdLk_5000_10000,52.47
3DMijw9ZZ4w_5000_10000,50.4
3FaeBt1XPQw_5000_10000,52.78
3HTL5bQvsDk_5000_10000,50.84
3Jlf2R6FBRA_0_5000,56.56
3KEiuvruqgQ_0_5000,51.75
3UWJsGeBTCA_0_5000,57.38
3WbUCxiuwIs_5000_10000,48.03
3_9-TYGWs8w_0_5000,53.56
3bvv-QLykWI_0_5000,56.6
3c_aHO_WmnU_0_5000,54.53
3d3Ph7yf8UY_0_5000,52.84
3iLRESPd2EM_0_5000,38.25
3isOx39nAVs_3000_8000,52.3
3lOD17f5qZI_0_5000,50.2
3pURwZPq69U_27000_37000,52.84
3rbSkHUmK08_10000_20000,51.4
3srCiRO75Uc_14000_24000,54.1
3vsAMbBywW8_5000_10000,53.72
41HkJUS2t8Y_2000_7000,55.3
43ZKh2qRHkA_0_5000,54.9
44LCU509K5E_0_5000,52.25
47UDBjg0oiM_2000_7000,53.6
4BiiXbPZdvE_0_5000,50.9
4Cc4hviIWts_0_5000,47.2
4HlGbrNuyPU_0_10000,51.25
4JxMhLR9Kr4_0_5000,55.72
4aCyzLNfW2M_10000_20000,52.6
4ijLeXCmQXg_405000_415000,51.78
4k63MOSjOBw_21000_31000,51.06
4k63MOSjOBw_233000_243000,50.5
4k63MOSjOBw_332000_342000,51.62
4k63MOSjOBw_468000_478000,51.84
4kxX9wpOKnA_1000_6000,53.44
4lH9S8DC8oM_0_5000,51.97
4niIHWNvUVw_0_10000,53.7
4unAT0OouX8_0_5000,51.34
4yCN1HMHgGE_0_5000,56.75
52TvGcpOGWs_5000_10000,57.44
533tCgdWiFs_593000_603000,51.28
55l9j-CggDQ_5000_10000,48.66
59nkrk-av0w_2000_12000,48.88
59nkrk-av0w_270000_280000,45.78
59nkrk-av0w_280000_290000,50.47
59nkrk-av0w_310000_320000,52.5
59nkrk-av0w_320000_330000,43.88
59nkrk-av0w_454000_464000,50.1
59nkrk-av0w_465000_475000,52.75
59nkrk-av0w_475000_485000,50.53
5E1VqgcqlSQ_5000_15000,53.22
5EkgOiOGytY_0_5000,54.34
5NReawzZDnE_0_5000,55.1
5OJEYb6RPts_170000_180000,52.84
5SVpG8o3sQU_4000_9000,55.16
5WnIbPn16Ek_2000_7000,48.38
5a019Ilbr-U_0_5000,53.2
5hSYne-34xY_0_5000,55.72
5j2qenQrKgM_2000_7000,53.28
5jJenKOKA_Y_0_10000,48.5
5jJenKOKA_Y_30000_40000,50.44
5jJenKOKA_Y_43000_53000,50.9
5jJenKOKA_Y_60000_70000,53.75
5jJenKOKA_Y_89000_99000,57.56
5lS4iiz_H7k_40000_50000,53.1
5lS4iiz_H7k_5000_15000,56.25
5o-s547x2e8_5000_10000,51.7
5pDbUFv5cJw_0_5000,52.9
5rQzpw4J7ss_0_5000,54.53
66Sl9ixB_5U_0_5000,53.75
68Mm2Nc-W4w_50000_60000,52.1
68Mm2Nc-W4w_80000_90000,48.88
6A0dHHhzk30_121000_131000,58.53
6A0dHHhzk30_255000_265000,44.25
6A0dHHhzk30_33000_43000,50.38
6A0dHHhzk30_85000_95000,48.62
6BXR7JlTiBQ_1000_6000,53.25
6FGn6JbLjaw_270000_280000,55.62
6FGn6JbLjaw_423000_433000,54.3
6FGn6JbLjaw_803000_813000,56.44
6LIeOlFhIFI_0_5000,52.06
6SnNgIK_PW4_1000_6000,58.28
6WOuLRY8f2c_5000_10000,51.66
6aeLYISKUw8_50000_60000,53.16
6fo1MiQB-wM_2000_7000,53.6
6hlkMqrLWEg_0_5000,55.12
6kdiESHOO3w_0_5000,53.56
6l0sxqfnaFI_2000_7000,54.06
6m6JyQVy1uc_164000_174000,47.84
6oHMyrDEtmM_90000_100000,50.47
6t7ex1vMFpg_1000_6000,53.1
6wJd7WKgXKo_1000_6000,56.38
6zbgi4vJ7pQ_0_10000,52.72
6zbsUtQL4nY_40000_50000,58.84
7-I_bth-7qk_45000_55000,49.12
7-p2sWznp-0_4000_9000,54.7
70rljq60zaw_5000_10000,50.66
723nQYKZgtY_0_5000,53.25
77E0CVn9CVA_0_5000,51.88
78iDwLevuKg_4000_9000,55.8
7AsU9_enF0o_4000_9000,54.94
7CY-C7M8aGk_0_5000,52.9
7Kp8w8uPFUY_120000_130000,53.88
7LDhGIQ0je0_0_5000,51.9
7OhXiEHalAk_3000_13000,52.7
7PtV8T7DtQE_0_5000,53.6
7S1MgvQcB8M_0_5000,54.03
7SB1JQQoa8M_0_5000,53.47
7UUYtJUfmyw_3000_8000,55.44
7ZQSB8qQyFY_0_10000,51.66
7ZjnU_lUoW8_255000_265000,48.8
7aK6W8-Rt38_1000_6000,55.16
7eqvYcGLuHs_0_5000,52.16
7i-CepxIQJ4_0_5000,55.56
7okW6RTakuQ_3000_8000,51.03
7qGNh8_MyII_0_5000,53.8
7sYsxcdTcXY_2000_7000,55.7
8082eX53org_4000_9000,48.62
884QLkT8sBQ_0_5000,49.47
88kDGM1hpsY_0_5000,50.78
898NtBwYP1U_0_5000,48.75
8E_86fHC8x8_108000_118000,55.7
8E_86fHC8x8_205000_215000,48.1
8E_86fHC8x8_24000_34000,56.1
8E_86fHC8x8_242000_252000,56.44
8IGDmbP37Tw_30000_40000,55.6
8Ia7ZEjX16A_210000_220000,55.94
8Ia7ZEjX16A_270000_280000,49.75
8IvmvgFTGDc_0_5000,52.56
8RqPYL2L-js_1000_6000,55.75
8TWtLCjUI5I_0_5000,52.5
8V2gWwavk00_5000_10000,56.7
8bnsGRX_jH4_0_5000,55.0
8i1AnxQ7JYQ_0_5000,48.47
8lRDJ3QlEK0_0_5000,47.3
8rBbtL5FR-E_1000_6000,55.66
8yfFuIxiEDI_0_5000,52.56
96p-sOIMnY0_460000_470000,59.5
98botKAWg3I_0_5000,54.97
99bIqwVy2l4_2000_7000,54.66
99hN_5beEHs_0_5000,57.3
99hN_5beEHs_250000_260000,55.78
9OEKNfIpojk_19000_29000,51.75
9VDtaUhOW2o_0_5000,53.88
9YPnEBtfxHU_10000_20000,55.34
9YPnEBtfxHU_3000_8000,49.72
9gOLLOeaVpk_3000_8000,51.47
9ifQTjiMU5w_0_5000,42.97
9nHvOkL0Y-I_5000_10000,47.7
9z7Mq9oJnVQ_0_5000,53.62
A--jAq0xhVk_0_5000,55.97
AGoOj13x-Ds_3000_8000,54.0
AL9pqcOjpGQ_0_5000,58.5
AL9pqcOjpGQ_43000_53000,55.03
AL9pqcOjpGQ_8000_18000,61.22
AMXFQ7m9nAo_0_5000,51.47
AUX5cxr6fDs_0_5000,53.6
AUX5cxr6fDs_90000_100000,52.53
AgDxQIamHek_0_5000,54.5
AgusA4q0rS4_7000_17000,55.1
AvDY3RcGyfw_15000_25000,52.06
AvDY3RcGyfw_40000_50000,57.12
AyDMfTIgd_o_4000_9000,47.4
B4qlXfHLsPY_2000_7000,48.6
BCDPEwIRz4s_0_5000,54.78
BDaqnMJ5Ems_0_5000,52.1
BG23o0x_Qeg_0_5000,50.2
BM9492vHkso_25000_35000,49.34
BNU4JwCGaMw_5000_10000,54.34
BQ_BJNFGmTg_4000_9000,52.53
BRrrRuo2iSI_0_5000,57.16
Bgh_mgO2VZU_5000_10000,51.88
BhR74IRNrj4_0_5000,52.22
BjhO2nt73j8_5000_10000,50.97
Bpmn-1SOFNY_0_5000,54.7
Br7OOHUUj7M_0_10000,51.94
Br7OOHUUj7M_129000_139000,51.8
Br7OOHUUj7M_21000_31000,52.1
CENJ57WEMfU_0_5000,53.7
CJU5llTnYUw_0_5000,51.94
CNTHkqnYEN0_112000_122000,49.12
CQqjv5jpGR8_0_5000,53.03
CVeGmthT028_0_5000,53.7
CXmiVo3jjdw_21000_31000,46.28
Cfong6fYc6U_0_5000,56.28
CiaP-0jqq7U_0_10000,53.84
CiaP-0jqq7U_65000_75000,53.03
CjBDGHcA65s_3000_8000,54.3
CocB6ItybUE_0_5000,52.4
Cs9bkMQ4yuc_115000_125000,57.75
Cs9bkMQ4yuc_168000_178000,55.34
Cs9bkMQ4yuc_35000_45000,57.66
Cs9bkMQ4yuc_68000_78000,55.97
Cs9bkMQ4yuc_8000_18000,54.56
CsvtHy2q2Og_0_5000,57.2
CxIDfBbwQPA_0_5000,55.53
CyHBkwPguP4_0_5000,51.25
D0kNXqg7Kcw_4000_9000,58.47
D24VVtKo1hM_0_5000,55.3
DEBAdhREhpw_4000_9000,50.34
DJclHUgiz_U_0_5000,50.53
DLPS4bIKQaM_4000_9000,50.3
DPlSp0M9Mgs_6000_11000,57.22
DRGD6sMSGKw_0_5000,52.8
DWhQqMUfFoo_107000_117000,51.16
DWhQqMUfFoo_195000_205000,51.25
DY9Xm0boaeA_0_5000,53.75
DZ2OJ2BQEos_0_5000,51.38
DZPQHyoP8ts_0_5000,47.8
D_Z4sIBxFdQ_0_5000,54.03
Dc0oFuJTvDo_1000_6000,53.75
DfYG7RHSBcI_0_5000,40.97
DgHEdrbKZI0_0_5000,44.66
Dhc3EALCjY8_3000_8000,50.8
Do-VYTebQ_E_0_5000,56.3
E-3ukmdB-6w_0_10000,48.47
E3R6z4nfSUY_70000_80000,56.75
EKM1wu2vXy4_26000_36000,53.28
EMTM6gxHUUA_100000_110000,55.03
EMTM6gxHUUA_132000_142000,51.94
EMTM6gxHUUA_182000_192000,52.3
EMTM6gxHUUA_2000_12000,53.88
EMTM6gxHUUA_212000_222000,60.78
EMTM6gxHUUA_260000_270000,54.72
EMTM6gxHUUA_340000_350000,55.38
EMTM6gxHUUA_361000_371000,50.0
EMTM6gxHUUA_402000_412000,48.75
ENX0totqysA_0_5000,54.38
Eal14VrCkb4_0_5000,53.03
EecV3ZJZ7sQ_65000_75000,53.75
EecV3ZJZ7sQ_7000_17000,47.53
EjuSVWRymWA_5000_10000,51.25
Ep9-f_G3QOc_56000_66000,50.3
EpqpLeILZvk_0_5000,50.34
EuU2PWB1t2g_20000_30000,54.78
EuU2PWB1t2g_61000_71000,48.0
Ew71HjD-tgA_0_5000,49.72
EyBONpPcuOY_2000_7000,48.9
F0StNDt5xE8_0_5000,52.44
F5vlZ9ehv1Q_10000_20000,54.5
F8oJuNdyi4k_0_5000,51.5
FIpCyWCy9Qc_0_5000,52.9
FL8RHi87Ud0_0_5000,55.88
FTqJzg71UFg_15000_25000,54.88
FVRJsCsqFB0_18000_28000,58.94
FhZXaNHgZCI_0_5000,57.1
FjK-wypKLxw_0_5000,54.62
FobLujww_Dg_6000_16000,52.16
FqIfYMkw4cU_16000_26000,52.47
Fx-Hj0qE6mA_0_5000,51.1
FyywFlozNjw_50000_60000,53.38
G-KeLQQ-84k_0_5000,53.7
G0YWRSMyXd0_325000_335000,57.2
G4fTKotMoWI_0_5000,52.88
G6__pct5bis_0_5000,49.56
G7dBgSxDJTU_0_10000,52.56
G7dBgSxDJTU_60000_70000,56.16
GBFAkHGUDWQ_0_5000,49.8
GQjxlpc-Uj4_1000_11000,52.6
GQjxlpc-Uj4_25000_35000,49.1
GXEB9KKgjbo_0_10000,53.6
GgExY9Nv-mw_0_5000,51.7
GtLv4ojzBjU_0_5000,53.47
Gu6YAcG9s4c_5000_10000,50.12
Gv2hc6JP-5k_0_5000,52.12
GvRM_UnjJoE_0_5000,52.88
H087Y1HFX4w_0_5000,47.4
H1fv3JNlY9U_0_5000,53.75
H1ynbvzW0js_13000_23000,54.2
H3bxCzr1dyo_0_5000,52.06
H43iV9CB6ro_1000_6000,50.38
H4JWhryyb9g_35000_45000,52.34
HDIOrREfB8U_5000_10000,49.7
HFZHOOhhtTM_5000_10000,56.12
HJ9TX5h2c04_0_10000,54.16
H__6P-rZ3Lo_5000_10000,54.2
HbKbkTkvOL0_133000_143000,54.88
HdOeLKqorQU_0_5000,52.12
HkkaoyrOVG0_105000_115000,54.1
HkkaoyrOVG0_129000_139000,51.47
HkkaoyrOVG0_150000_160000,47.6
HkkaoyrOVG0_17000_27000,40.2
HkkaoyrOVG0_175000_185000,52.75
HkkaoyrOVG0_198000_208000,44.12
HkkaoyrOVG0_208000_218000,52.44
HkkaoyrOVG0_220000_230000,66.0
HkkaoyrOVG0_230000_240000,49.5
HkkaoyrOVG0_254000_264000,55.0
HkkaoyrOVG0_266000_276000,46.2
HkkaoyrOVG0_27000_37000,39.25
HkkaoyrOVG0_277000_287000,49.28
HkkaoyrOVG0_292000_302000,51.97
HkkaoyrOVG0_4000_14000,53.8
HkkaoyrOVG0_46000_56000,51.28
HkkaoyrOVG0_62000_72000,53.47
HkkaoyrOVG0_82000_92000,44.97
HkkaoyrOVG0_93000_103000,54.25
HleGtR7SLgo_42000_52000,58.7
HleGtR7SLgo_74000_84000,61.5
HmfCGoJGMiY_0_5000,56.25
Hu2QCqWLFgc_637000_647000,51.66
I2neGHowKpU_0_5000,54.22
I72zK8BfSRw_0_10000,57.62
I72zK8BfSRw_11000_21000,54.53
I72zK8BfSRw_311000_321000,59.7
I72zK8BfSRw_71000_81000,57.53
IEZImL0QZEs_0_5000,53.38
IHaeb18ynFo_0_5000,50.06
IL_SGJjcUdo_5000_10000,52.9
IMyCto9mLUc_75000_85000,52.56
IOgX_sYAeOM_0_5000,50.66
IQQyJL8pbPU_0_5000,47.25
IW-ELVOdAjY_0_5000,51.94
Iejp01l-1uw_0_5000,46.44
IjYLOsTBMcA_5000_15000,58.88
IjpIxH8egvI_3000_8000,53.62
InpwFGO4Lug_3000_8000,53.56
IqkvnX1H9BY_0_5000,53.2
Isn4ltY2kPw_0_5000,52.78
J4VeWujsLJg_2000_7000,54.38
J4VeWujsLJg_32000_42000,54.4
JA-9AWVi_e4_14000_24000,47.5
JCbD3CuQa1o_1000_6000,52.75
JFHbiOHT9sc_3000_13000,51.9
JQQM0Rm_3E4_0_5000,54.78
JVjDa0NmfeE_116000_126000,54.94
JVjDa0NmfeE_16000_26000,58.72
JVjDa0NmfeE_173000_183000,58.22
JVqTAIpcAD0_0_5000,53.28
Jet-YGASUw8_5000_10000,54.88
JnGEcArat0M_0_5000,51.28
JnQ2_YJ1lUI_110000_120000,54.62
Jq5nJmGXsjg_4000_14000,55.12
Jz471WNVZlM_0_5000,51.25
K-CfpmkZuqc_0_5000,56.56
K7bXcSA736Y_0_5000,50.28
KB-k5od1M3M_0_5000,51.06
KC-wRA_SwK0_0_5000,57.3
KC_rwPGtbsk_5000_10000,52.8
KC_rwPGtbsk_67000_77000,53.88
KD2WKj-xW_s_0_5000,52.56
KWqZGTZQUwA_0_5000,55.8
KYcf01DDpaM_3000_8000,57.8
Kc4moqpQ9ZU_5000_10000,54.16
KjT9_y7lRQ0_10000_20000,59.22
KxIypAJzqe4_17000_27000,56.47
LEUKYOndizA_0_5000,57.62
LGWA6yziPGQ_3000_8000,54.9
LTLuDFO8QpA_0_5000,50.66
LlFCu8KEMQs_0_5000,53.53
LnZke14BYM4_0_5000,52.56
Lp4VlV1iebo_5000_10000,52.72
LpeUNO651d4_0_5000,54.6
LqInaHKSdvo_0_5000,53.56
Ltlz5vkXSpY_5000_10000,49.66
Lw057CKQDCw_0_5000,49.4
Lzfve0wQpAI_0_5000,52.9
M4zTmpMgo7s_0_10000,48.8
M6vnA5H5R1M_85000_95000,53.88
MBvyUrmVJ90_10000_20000,48.03
MKHDqC_YX9s_4000_14000,50.25
MQLRFWXq8MY_123000_133000,53.44
MScGcBjNoL0_0_5000,55.2
MW1TsuXzkY4_0_5000,54.25
N61ob5h9_aU_53000_63000,55.12
NAbto3W5uzA_30000_40000,52.2
NAbto3W5uzA_34000_44000,56.0
NE4VsSTMG3U_0_5000,53.5
NPR4xNWt6nw_4000_9000,53.06
NVSPLoL6hyw_1000_6000,53.06
NXdyIjnzMQQ_0_5000,51.0
Ndsha-7f-aw_2000_12000,55.66
NoS_7g-_nN0_4000_14000,51.75
Nv3I-lr2N68_0_5000,54.06
Nv3I-lr2N68_30000_40000,54.44
O09RyqZLDU0_166000_176000,50.38
O09RyqZLDU0_25000_35000,46.97
O2R3gFqhVY0_5000_10000,54.6
O3YG9Kic5GU_2000_7000,46.9
O6cZBByuc5o_0_5000,52.66
O8r8h58ZwOE_0_5000,50.7
OH7_e7uNUko_34000_44000,53.62
OJDnSW1T30M_60000_70000,53.88
OJDnSW1T30M_8000_18000,52.44
OYKoW-bf2fk_0_5000,48.66
OhJBGC_X_WE_0_5000,51.66
OmBXoup0XRM_47000_57000,49.12
OmBXoup0XRM_78000_88000,46.47
Ow9uE_v2AEg_1000_11000,52.0
Ow9uE_v2AEg_28000_38000,48.06
P13bN4xItZs_5000_10000,52.56
P3uf4Jsl4Eg_6000_16000,49.72
PAAgCMk00To_0_5000,52.97
PL-qv34uGz4_110000_120000,58.7
PXBvcucFV3A_5000_10000,52.0
P_8sR3jDZ9E_5000_10000,53.8
Ph3or5bl_WM_0_5000,51.03
Pv0-98KngdA_2000_7000,52.12
PwazdGn6ldc_24000_34000,54.3
PxBlmQvlq9M_0_5000,50.22
QdSWqmjM83U_4000_9000,53.25
Qmp8BQKSJOg_440000_450000,56.97
Qocj8lVXvWA_500000_510000,59.2
R2gNnJo21fg_67000_77000,51.28
R4kPj-bgVIE_58000_68000,53.2
R5YmUmtwVc8_0_5000,52.88
RAyz-hi-X4o_5000_10000,55.25
REWGUzfTvc4_0_5000,57.34
RJg2vDsysbA_0_5000,55.0
RKrVPLSRkdk_3000_8000,51.78
RNni2QLdLJo_5000_15000,54.22
RYV2RjDLjM8_6000_16000,50.38
Rp6YTTJiIHc_0_5000,47.5
RzqhTCsMQuQ_153000_163000,52.7
S1TxB-Pu2sQ_260000_270000,49.12
S2rcy6UP5Bg_0_5000,57.53
S3Fg5wYR-O8_0_5000,52.3
S5-12O3kiho_0_5000,54.28
S7NiQwOW9NM_5000_10000,54.62
SCXlT8zIqPw_0_5000,52.75
SFpOk5H3SKQ_2000_7000,53.75
SKwuxObqlas_134000_144000,48.56
SKwuxObqlas_5000_15000,50.88
ShJltlTvg5o_2000_7000,55.0
SjrwTwBrG_U_5000_10000,57.44
SqTDyDsarwk_0_5000,45.8
SqVquVFmWi8_50000_60000,49.78
Ss1DNsFucPw_0_5000,50.84
T1Jlp8NFA4Y_2000_7000,53.25
T1R7ULynwCo_0_5000,54.2
T4LYhpdIub8_194000_204000,53.06
T4LYhpdIub8_260000_270000,50.8
T4LYhpdIub8_60000_70000,54.44
T54sMBwaZUg_0_5000,48.34
TE28Tjr0KgE_8000_18000,59.7
Tbubb4FwONs_50000_60000,50.4
TcXP_hw7Gkg_16000_26000,56.4
Tec5bp90C8k_25000_35000,55.06
TgAcM1sb42I_4000_9000,55.78
TgPSiFEKB_I_0_5000,56.7
TkWpyw3VipM_2000_7000,51.34
Tr0tZ1_Vn8A_0_5000,57.88
TuyTeNqzjjg_5000_10000,47.62
TyugB5gNwCo_6000_16000,52.62
U673pyJAJgo_60000_70000,55.88
UAhzckt0y3U_0_5000,48.53
UKhFnMjo4zk_0_10000,49.75
UKhFnMjo4zk_120000_130000,49.28
UKhFnMjo4zk_14000_24000,52.56
UKhFnMjo4zk_45000_55000,47.88
UKhFnMjo4zk_80000_90000,52.84
UY_AbLTIRtw_0_5000,55.22
UyuzrLGZcgc_3000_8000,54.38
VMSPk34FcCY_20000_30000,52.88
VN0FRmNf8R4_0_5000,49.7
VsWrJt--Qsk_2000_7000,54.3
VxsdrQ7a5eg_1000_6000,52.0
WHiXtnVRSGw_4000_9000,51.84
WIrnq6luD9c_0_5000,55.7
WJ2yas2yKxw_0_5000,50.2
WJAcO_9kG1I_0_5000,58.7
WK5cRnwMdVY_2000_12000,54.25
WKCMM4h4c6o_0_5000,49.2
WPrsmLV6KlE_25000_35000,47.9
WPrsmLV6KlE_52000_62000,53.34
Wd2qRSzCj84_30000_40000,50.56
WjPKVk5Bk2Q_30000_40000,54.66
X0sFAkrCiGU_206000_216000,51.56
X1z17RzQFxE_0_5000,50.62
X891H9SSlWk_1000_11000,56.25
X8eXLuLGhrc_3000_8000,46.22
XB-LA7JvuFs_10000_20000,51.62
XNw23PiqlU0_247000_257000,58.44
XNw23PiqlU0_292000_302000,50.78
XNw23PiqlU0_436000_446000,46.62
XNw23PiqlU0_474000_484000,48.47
XNw23PiqlU0_497000_507000,55.6
XNw23PiqlU0_510000_520000,49.75
XNw23PiqlU0_565000_575000,49.78
XNw23PiqlU0_593000_603000,52.12
XW6x7Z63lik_36000_46000,50.03
XW6x7Z63lik_70000_80000,51.22
XYBaZ4a2u1w_1000_6000,48.3
Xs9R_DjOq1A_20000_30000,56.66
Y0t3yM_3ZwE_120000_130000,50.88
Y0t3yM_3ZwE_145000_155000,51.03
Y0t3yM_3ZwE_250000_260000,48.5
Y0t3yM_3ZwE_50000_60000,51.1
Y2olmE8sseU_161000_171000,49.22
Y2olmE8sseU_288000_298000,47.94
Y2olmE8sseU_307000_317000,52.44
Y2olmE8sseU_330000_340000,52.22
Y7gRJOkZV-g_483000_493000,53.94
Y7gRJOkZV-g_493000_503000,57.44
Y7gRJOkZV-g_503000_513000,53.97
Y7gRJOkZV-g_535000_545000,52.34
Y7gRJOkZV-g_555000_565000,56.78
Y7gRJOkZV-g_745000_755000,55.72
Y7gRJOkZV-g_780000_790000,51.7
Y7gRJOkZV-g_815000_825000,54.66
Y7gRJOkZV-g_830000_840000,53.75
Y7gRJOkZV-g_970000_980000,48.97
Y7gRJOkZV-g_990000_1000000,54.78
YDsPLvuwr3Y_2000_7000,53.9
YEmynA8tepc_0_5000,54.0
YJ2O7vQfeiE_207000_217000,55.28
YUp9yrw4tB4_0_5000,47.56
YbrCIC9wlmI_25000_35000,53.1
Ygfb9D6aBS0_3000_8000,53.2
YjWmD-V9Yf8_1203000_1213000,54.66
YjWmD-V9Yf8_89000_99000,54.2
Yjjbwz-n0kc_0_5000,50.7
Z1s65WhSgEE_1000_6000,56.62
Z9hSMoDG6P4_7000_17000,49.9
ZCydAxIV-0Y_10000_20000,52.75
ZECeW7EAQtM_5000_10000,56.47
ZM7ZJ6ov_UE_207000_217000,48.28
ZWGBryiRvqE_4000_14000,50.56
Zhwaea-sxIc_2000_7000,50.34
ZvLZst-YH9Y_108000_118000,56.5
ZvLZst-YH9Y_155000_165000,54.6
ZvLZst-YH9Y_210000_220000,56.12
ZvLZst-YH9Y_21000_31000,53.53
ZvLZst-YH9Y_265000_275000,58.2
ZvLZst-YH9Y_312000_322000,53.88
ZvLZst-YH9Y_328000_338000,54.8
ZvLZst-YH9Y_374000_384000,54.9
ZvLZst-YH9Y_38000_48000,58.6
ZvLZst-YH9Y_495000_505000,55.06
ZvLZst-YH9Y_68000_78000,58.16
ZvLZst-YH9Y_94000_104000,56.3
